Timestep,State,Current RUL,Cummulative Reward
567,2,[0.01221405],39700
568,3,[0.12131001],40200
569,7,[0.12131001],39700
570,7,[0.12131001],39200
571,7,[0.12131001],38700
572,7,[0.12131001],38200
573,7,[0.12131001],37700
574,7,[0.12131001],37200
575,2,[0.12131001],38000
576,2,[0.02721642],38800
577,3,[0.0230338],39300
578,3,[0.15407868],39800
579,7,[0.15407868],39300
580,2,[0.03891015],40100
581,2,[0.01716414],40900
582,2,[0.02109856],41700
583,2,[0.0225031],42500
584,9,[0.07776969],41500
585,9,[0.12066575],40500
586,9,[0.2087793],39500
587,9,[0.29724597],38500
588,9,[0.0928356],37500
589,9,[0.13409165],36500
590,9,[0.14409301],35500
591,9,[0.24055418],34500
592,9,[0.11223996],33500
593,0,[0.03959378],34500
594,0,[0.05362766],35500
595,1,[0.03430146],36400
596,1,[0.02760613],37300
597,1,[0.0365191],38200
598,1,[0.02143384],39100
599,2,[0.02757441],39900
600,2,[0.02760577],40700
601,2,[0.04577596],41500
602,2,[0.09616162],42300
603,6,[0.09616162],41800
604,6,[0.09616162],41300
605,1,[0.02620526],42200
606,1,[0.02454351],43100
607,2,[0.04765154],43900
608,2,[0.04154033],44700
609,9,[0.31948824],43700
610,9,[0.09106012],42700
611,9,[0.09106012],41700
612,9,[0.15254347],40700
613,9,[0.19168015],39700
614,0,[0.01359614],40700
615,0,[0.0293916],41700
616,1,[0.02443207],42600
617,2,[0.02443207],43400
618,6,[0.09193725],42900
619,1,[0.02343575],43800
620,1,[0.03347724],44700
621,1,[0.0427697],45600
622,2,[0.02801883],46400
623,2,[0.03111487],47200
624,2,[0.0375429],48000
625,2,[0.02842026],48800
626,2,[0.02842026],49600
627,3,[0.08921823],50100
628,7,[0.08921823],49600
629,7,[0.08921823],49100
630,2,[0.04368342],49900
631,2,[0.03520156],50700
632,3,[0.07591308],51200
633,3,[0.14284446],51700
634,7,[0.14284446],51200
635,7,[0.14284446],50700
636,7,[0.14284446],50200
637,7,[0.14284446],49700
638,2,[0.01541581],50500
639,2,[0.02557208],51300
640,2,[0.0165482],52100
641,2,[0.03290862],52900
642,2,[0.03464747],53700
643,2,[0.03197285],54500
644,2,[0.01174547],55300
645,3,[0.02358821],55800
646,3,[0.06352961],56300
647,3,[0.02439551],56800
648,3,[0.04268355],57300
649,8,[0.11595991],54300
650,8,[0.10501128],51300
651,0,[0.02097243],52300
652,0,[0.06215643],53300
653,1,[0.02643766],54200
654,1,[0.01209054],55100
655,1,[0.08641509],56000
656,9,[0.22183884],55000
657,9,[0.15329327],54000
658,9,[0.14355067],53000
659,9,[0.19906101],52000
660,9,[0.14045437],51000
661,9,[0.14103092],50000
662,9,[0.15048676],49000
663,9,[0.15184935],48000
664,0,[0.02326663],49000
665,0,[0.04463527],50000
666,0,[0.04013771],51000
667,0,[0.03135703],52000
668,0,[0.10562842],53000
669,4,[0.10562842],52500
670,0,[0.01806342],53500
671,0,[0.02731377],54500
672,0,[0.02317575],55500
673,0,[0.02985693],56500
674,0,[0.03370414],57500
675,1,[0.02716609],58400
676,2,[0.02006627],59200
677,3,[0.03428618],59700
678,8,[0.10019566],56700
679,8,[0.16689423],53700
680,8,[0.13178956],50700
681,8,[0.14143962],47700
682,8,[0.21315337],44700
683,8,[0.15836004],41700
684,0,[0.02337527],42700
685,0,[0.02855843],43700
686,0,[0.02445371],44700
687,0,[0.0263647],45700
688,0,[0.01019051],46700
689,0,[0.02246819],47700
690,0,[0.02265598],48700
691,0,[0.02578197],49700
692,0,[0.1458176],50700
693,4,[0.1458176],50200
694,4,[0.1458176],49700
695,0,[0.01582654],50700
696,1,[0.04122601],51600
697,1,[0.04566878],52500
698,1,[0.04868996],53400
699,1,[0.01908282],54300
700,1,[0.04168182],55200
701,1,[0.04750359],56100
702,2,[0.04399251],56900
703,2,[0.01673828],57700
704,2,[0.012425],58500
705,2,[0.02195674],59300
706,2,[0.01972175],60100
707,2,[0.02514276],60900
708,2,[0.02754081],61700
709,2,[0.08478996],62500
710,6,[0.08478996],62000
711,1,[0.01447866],62900
712,1,[0.04173132],63800
713,1,[0.01958264],64700
714,1,[0.02256166],65600
715,1,[0.03029674],66500
716,1,[0.01528973],67400
717,1,[0.02360545],68300
718,1,[0.02431615],69200
719,2,[0.09623492],70000
720,6,[0.09623492],69500
721,6,[0.09623492],69000
722,6,[0.09623492],68500
723,1,[0.02861537],69400
724,1,[0.02515557],70300
725,1,[0.01447144],71200
726,2,[0.02024686],72000
727,3,[0.03363101],72500
728,8,[0.15496653],69500
729,8,[0.13409664],66500
730,8,[0.09297683],63500
